commodity,price_diff
Wheat,74.25138032699014
Wheat,69.65078483458097
Tea (black),54.063547223385854
Oil (mustard),45.69187586761102
Oil (sunflower),44.20934129646061
Rice,42.78775641025642
Oil (soybean),41.030098227463114
Chickpeas,40.6633227344992
Ghee (vanaspati),35.16478043477676
Lentils,33.61498920547865
