commodity,year,avg_price,prev_year_price,pct_change
Chickpeas,2000,20.351785714285715,NULL,NULL
Chickpeas,2001,25.371153846153845,20.351785714285715,24.663035481671958
Chickpeas,2002,23.17241379310345,25.371153846153845,-8.66629900391273
Chickpeas,2003,22.318648648648647,23.17241379310345,-3.6844031531531596
Chickpeas,2004,22.288918918918917,22.318648648648647,-0.13320577870887634
Chickpeas,2005,24.29259259259259,22.288918918918917,8.989550731296116
Chickpeas,2006,32.574411764705886,24.29259259259259,34.09195268288748
Chickpeas,2007,33.986216216216214,32.574411764705886,4.334090394964574
Chickpeas,2008,35.53484848484849,33.986216216216214,4.556648079857031
Chickpeas,2009,34.349000000000004,35.53484848484849,-3.337142369846075
Chickpeas,2010,34.37694444444444,34.349000000000004,0.08135446285026217
Chickpeas,2011,43.132580645161305,34.37694444444444,25.469500975767605
Chickpeas,2012,61.17241379310346,43.132580645161305,41.824145177749514
Chickpeas,2013,55.34124999999999,61.17241379310346,-9.53234216459981
Chickpeas,2014,49.296388888888885,55.34124999999999,-10.922885028999353
Chickpeas,2015,61.40432432432433,49.296388888888885,24.56150583915184
Chickpeas,2016,102.06764705882352,61.40432432432433,66.22224604202847
Chickpeas,2017,86.30264705882352,102.06764705882352,-15.445638705587413
Chickpeas,2018,66.83058823529413,86.30264705882352,-22.562527902831672
Chickpeas,2019,69.66894736842104,66.83058823529413,4.247095840506067
Chickpeas,2020,73.71807692307692,69.66894736842104,5.811957418049397
Ghee (vanaspati),2015,73.74183266932273,NULL,NULL
Ghee (vanaspati),2016,75.17497164461251,73.74183266932273,1.9434545134189185
Ghee (vanaspati),2017,78.717572815534,75.17497164461251,4.712474236330983
Ghee (vanaspati),2018,80.92605042016805,78.717572815534,2.8055712665447397
Ghee (vanaspati),2019,81.54829341317367,80.92605042016805,0.7689032020899674
Ghee (vanaspati),2020,94.35707717569792,81.54829341317367,15.706991803773382
Ghee (vanaspati),2021,129.52185761047468,94.35707717569792,37.267772049888805
Ghee (vanaspati),2022,150.76835451977402,129.52185761047468,16.403792611743004
Ghee (vanaspati),2023,133.78655172413784,150.76835451977402,-11.263506091663908
Ghee (vanaspati),2024,127.25,133.78655172413784,-4.885806263708723
Lentils,2013,51.81151898734176,NULL,NULL
Lentils,2014,47.10025125628143,51.81151898734176,-9.09308938078298
Lentils,2015,58.396993736952,47.10025125628143,23.98446330828012
Lentils,2016,92.01198294243065,58.396993736952,57.56287619341614
Lentils,2017,85.8033264033264,92.01198294243065,-6.747660837815916
Lentils,2018,64.62271428571425,85.8033264033264,-24.685071086930517
Lentils,2019,81.58068728522336,64.62271428571425,26.241505308076956
Lentils,2020,97.82982935153578,81.58068728522336,19.91787836930323
Lentils,2021,105.51795180722891,97.82982935153578,7.8586689833293075
Lentils,2022,106.36427891156455,105.51795180722891,0.8020693065401806
Lentils,2023,120.50394495412827,106.36427891156455,13.29362280951483
Lentils,2024,149.992,120.50394495412827,24.470613851767933
Lentils (masur),2012,52.640496183206096,NULL,NULL
Lentils (masur),2013,57.222027397260256,52.640496183206096,8.703434705685403
Lentils (masur),2014,66.76578048780485,57.222027397260256,16.67846024449238
Lentils (masur),2015,82.39393406593409,66.76578048780485,23.40743036919012
Lentils (masur),2016,82.54581740976641,82.39393406593409,0.1843380165714415
Lentils (masur),2017,68.66752066115703,82.54581740976641,-16.812840655167314
Lentils (masur),2018,60.76174568965517,68.66752066115703,-11.513121335067941
Lentils (masur),2019,63.17878962536023,60.76174568965517,3.977904038587501
Lentils (masur),2020,75.57837795275589,63.17878962536023,19.62618847388999
Lentils (masur),2021,88.16298056155507,75.57837795275589,16.65106204934146
Lentils (masur),2022,95.99739299610903,88.16298056155507,8.886283545148517
Lentils (masur),2023,91.77799783549781,95.99739299610903,-4.395322652962289
Lentils (masur),2024,93.795,91.77799783549781,2.197696846816649
Lentils (moong),2015,102.10896551724146,NULL,NULL
Lentils (moong),2016,92.32193612774451,102.10896551724146,-9.584887418964573
Lentils (moong),2017,74.78945674044266,92.32193612774451,-18.990588935485945
Lentils (moong),2018,73.06312910284464,74.78945674044266,-2.308250003191293
Lentils (moong),2019,84.06154340836011,73.06312910284464,15.053303137392257
Lentils (moong),2020,102.55170247933876,84.06154340836011,21.99597856674585
Lentils (moong),2021,103.80591945288765,102.55170247933876,1.2230094120588408
Lentils (moong),2022,102.15018893387321,103.80591945288765,-1.5950251466785514
Lentils (moong),2023,106.7521101992965,102.15018893387321,4.505054090895841
Lentils (moong),2024,116.6,106.7521101992965,9.225007151913328
Lentils (urad),2015,108.91469586374694,NULL,NULL
Lentils (urad),2016,133.86951035781536,108.91469586374694,22.91225651062467
Lentils (urad),2017,86.78730250481698,133.86951035781536,-35.170224890756614
Lentils (urad),2018,69.13607966457018,86.78730250481698,-20.338485389918766
Lentils (urad),2019,80.37703812316713,69.13607966457018,16.25917829465466
Lentils (urad),2020,101.7142556634303,80.37703812316713,26.54640932098881
Lentils (urad),2021,108.16802368615845,101.7142556634303,6.344998526149076
Lentils (urad),2022,105.97751691474967,108.16802368615845,-2.0250964164459284
Lentils (urad),2023,110.09508928571408,105.97751691474967,3.8853263322603264
Lentils (urad),2024,125.10666666666668,110.09508928571408,13.635101691043818
Milk,2009,21.008030303030303,NULL,NULL
Milk,2010,24.207014925373137,21.008030303030303,15.22743720472165
Milk,2011,28.206290322580642,24.207014925373137,16.521142361157356
Milk,2012,30.80233333333333,28.206290322580642,9.203773275617234
Milk,2013,32.80186440677966,30.80233333333333,6.491492224981855
Milk,2014,35.55166666666666,32.80186440677966,8.383066967738156
Milk,2015,37.655,35.55166666666666,5.916272092260107
Milk,2016,38.935762711864406,37.655,3.4013084898802415
Milk,2017,41.40573770491803,38.935762711864406,6.343718014032845
Milk,2018,42.5890625,41.40573770491803,2.8578763733544448
Milk,2019,42.85571428571428,42.5890625,0.6261039103978415
Milk,2020,44.92529411764706,42.85571428571428,4.829180580529183
Milk (pasteurized),2012,31.756126984126972,NULL,NULL
Milk (pasteurized),2013,33.71510895883777,31.756126984126972,6.168831531911859
Milk (pasteurized),2014,36.885059952038354,33.71510895883777,9.402167429061935
Milk (pasteurized),2015,39.51509541984733,36.885059952038354,7.130354325650572
Milk (pasteurized),2016,40.348814229249015,39.51509541984733,2.1098742152674506
Milk (pasteurized),2017,42.11370722433459,40.348814229249015,4.374088876709037
Milk (pasteurized),2018,43.063807439824934,42.11370722433459,2.2560355715759632
Milk (pasteurized),2019,45.3712292358804,43.063807439824934,5.358146279285065
Milk (pasteurized),2020,47.317990430622004,45.3712292358804,4.290739368379445
Milk (pasteurized),2021,49.31775297619048,47.317990430622004,4.2262203600986386
Milk (pasteurized),2022,52.02095364238405,49.31775297619048,5.481191869180697
Milk (pasteurized),2023,55.01237580993517,52.02095364238405,5.75041777994985
Milk (pasteurized),2024,59.23599999999999,55.01237580993517,7.677589138591677
Oil (groundnut),2012,128.15952898550722,NULL,NULL
Oil (groundnut),2013,126.49474431818182,128.15952898550722,-1.2989940588137359
Oil (groundnut),2014,118.11084033613447,126.49474431818182,-6.627867447961849
Oil (groundnut),2015,122.94866220735788,118.11084033613447,4.096001567218841
Oil (groundnut),2016,131.83285365853658,122.94866220735788,7.225935843201893
Oil (groundnut),2017,134.66985074626862,131.83285365853658,2.151965165739504
Oil (groundnut),2018,130.96491803278687,134.66985074626862,-2.7511226105553606
Oil (groundnut),2019,135.17816849816842,130.96491803278687,3.217083268304546
Oil (groundnut),2020,150.73539094650206,135.17816849816842,11.508679708546603
Oil (groundnut),2021,175.62401691331937,150.73539094650206,16.5114680835973
Oil (groundnut),2022,188.67586397058844,175.62401691331937,7.431698287433498
Oil (groundnut),2023,191.98121076233193,188.67586397058844,1.7518651947229136
Oil (groundnut),2024,190.496,191.98121076233193,-0.7736229792667428
Oil (mustard),1994,35.84108527131783,NULL,NULL
Oil (mustard),1996,39.67628205128205,35.84108527131783,10.700559848932292
Oil (mustard),2000,43.14451612903225,39.67628205128205,8.741328316164967
Oil (mustard),2001,44.999180327868864,43.14451612903225,4.298725226839662
Oil (mustard),2002,48.103821656050954,44.999180327868864,6.899328622346763
Oil (mustard),2003,57.88957055214724,48.103821656050954,20.34297600316615
Oil (mustard),2004,57.9375,57.88957055214724,0.08279461636286298
Oil (mustard),2005,55.571875,57.9375,-4.083063646170445
Oil (mustard),2006,58.0,55.571875,4.369341505932635
Oil (mustard),2007,61.75925925925926,58.0,6.481481481481483
Oil (mustard),2008,75.97133757961784,61.75925925925926,23.01206084855662
Oil (mustard),2009,66.90147783251231,75.97133757961784,-11.938528445152524
Oil (mustard),2010,66.53980620155038,66.90147783251231,-0.5406033508966429
Oil (mustard),2011,78.32225721784776,66.53980620155038,17.707372006176442
Oil (mustard),2012,101.48267857142852,78.32225721784776,29.570676556424697
Oil (mustard),2013,100.01848072562362,101.48267857142852,-1.4428056752309006
Oil (mustard),2014,97.78928089887638,100.01848072562362,-2.2287879305650535
Oil (mustard),2015,103.02700757575757,97.78928089887638,5.356135793960382
Oil (mustard),2016,109.26833976833976,103.02700757575757,6.057957364230764
Oil (mustard),2017,105.88277246653924,109.26833976833976,-3.0983973115893177
Oil (mustard),2018,106.00418410041834,105.88277246653924,0.11466608877990417
Oil (mustard),2019,108.28545454545457,106.00418410041834,2.1520569818972124
Oil (mustard),2020,122.84538102643846,108.28545454545457,13.445874648724981
Oil (mustard),2021,168.53725689404948,122.84538102643846,37.194622610822734
Oil (mustard),2022,184.22317105263167,168.53725689404948,9.307089985713429
Oil (mustard),2023,165.31895081967195,184.22317105263167,-10.261586598983726
Oil (mustard),2024,141.32,165.31895081967195,-14.516757274760197
Oil (palm),2012,70.83783068783072,NULL,NULL
Oil (palm),2013,68.92771126760564,70.83783068783072,-2.6964679771782074
Oil (palm),2014,70.11271126760562,68.92771126760564,1.7191924382913542
Oil (palm),2015,65.70059055118105,70.11271126760562,-6.29289701775249
Oil (palm),2016,69.89404938271606,65.70059055118105,6.3826805761636
Oil (palm),2017,72.14393316195373,69.89404938271606,3.218991887160614
Oil (palm),2018,79.32203208556149,72.14393316195373,9.94969169132194
Oil (palm),2019,79.48640287769787,79.32203208556149,0.2072195931126438
Oil (palm),2020,95.22564575645748,79.48640287769787,19.80117643891481
Oil (palm),2021,127.32532385466047,95.22564575645748,33.70906843761281
Oil (palm),2022,136.22661428571425,127.32532385466047,6.990981967746213
Oil (palm),2023,113.58763613861382,136.22661428571425,-16.618616168217084
Oil (palm),2024,105.44800000000001,113.58763613861382,-7.165952576635022
Oil (soybean),2015,82.66825503355706,NULL,NULL
Oil (soybean),2016,83.54239999999996,82.66825503355706,1.0574131098909267
Oil (soybean),2017,86.50798245614038,83.54239999999996,3.549793226122814
Oil (soybean),2018,90.59781990521323,86.50798245614038,4.7276994942592685
Oil (soybean),2019,93.50555183946487,90.59781990521323,3.2094943755752836
Oil (soybean),2020,104.89557539682538,93.50555183946487,12.1811200867682
Oil (soybean),2021,145.9256736242885,104.89557539682538,39.11518486098593
Oil (soybean),2022,159.68448881789146,145.9256736242885,9.428646003051853
Oil (soybean),2023,145.16939794419977,159.68448881789146,-9.08985649210118
Oil (soybean),2024,130.0475,145.16939794419977,-10.41672567245358
Oil (sunflower),2012,93.74068965517239,NULL,NULL
Oil (sunflower),2013,97.7720872274143,93.74068965517239,4.300584502921321
Oil (sunflower),2014,95.38589812332441,97.7720872274143,-2.4405627124842955
Oil (sunflower),2015,95.87455414012739,95.38589812332441,0.5122937734162697
Oil (sunflower),2016,98.03739495798322,95.87455414012739,2.255907041502059
Oil (sunflower),2017,94.69905241935487,98.03739495798322,-3.40517262832116
Oil (sunflower),2018,98.45887587822014,94.69905241935487,3.970286251878933
Oil (sunflower),2019,103.03606617647058,98.45887587822014,4.648834609803779
Oil (sunflower),2020,118.25088288288286,103.03606617647058,14.766496112491092
Oil (sunflower),2021,162.46022417934347,118.25088288288286,37.386056001159915
Oil (sunflower),2022,177.88895003620559,162.46022417934347,9.4969251303199
Oil (sunflower),2023,155.68117224880382,177.88895003620559,-12.48406816886706
Oil (sunflower),2024,141.574,155.68117224880382,-9.061578895525177
Onions,2000,5.905853658536586,NULL,NULL
Onions,2001,7.491395348837207,5.905853658536586,26.846951888298282
Onions,2002,6.487441860465116,7.491395348837207,-13.401421786235352
Onions,2003,7.827073170731708,6.487441860465116,20.649607951485336
Onions,2004,8.497021276595746,7.827073170731708,8.559369399652715
Onions,2005,9.500731707317076,8.497021276595746,11.812497557066939
Onions,2006,7.111363636363638,9.500731707317076,-25.1493058067648
Onions,2007,13.092954545454546,7.111363636363638,84.11313518696065
Onions,2008,10.338409090909092,13.092954545454546,-21.038379419882304
Onions,2009,15.317272727272728,10.338409090909092,48.15889555716766
Onions,2010,18.286190476190477,15.317272727272728,19.38280921009866
Onions,2011,17.265609756097557,18.286190476190477,-5.5811554704177775
Onions,2012,15.388178571428577,17.265609756097557,-10.87381917691
Onions,2013,33.743400900900866,15.388178571428577,119.28131873614115
Onions,2014,23.13575371549894,33.743400900900866,-31.436212421370747
Onions,2015,32.30636882129277,23.13575371549894,39.63828115809479
Onions,2016,17.86728682170543,32.30636882129277,-44.69422756688985
Onions,2017,23.230391791044795,17.86728682170543,30.01633668758364
Onions,2018,25.124412371134028,23.230391791044795,8.153201190603117
Onions,2019,42.78188854489166,25.124412371134028,70.28015586165382
Onions,2020,38.82042207792209,42.78188854489166,-9.259681144774017
Onions,2021,32.23786872586869,38.82042207792209,-16.9564188118321
Onions,2022,28.324182788525693,32.23786872586869,-12.14002690631508
Onions,2023,23.922160919540225,28.324182788525693,-15.54156708368919
